Cuisine,TimeOfDay,Weather,HungerLevel,OrderFood
Italian,Lunch,Cloudy,High,Yes
Italian,Dinner,Sunny,Medium,Yes
Mexican,Dinner,Sunny,High,Yes
Mexican,Breakfast,Rainy,High,Yes
Indian,Lunch,Sunny,Low,No
Mexican,Dinner,Sunny,High,Yes
Indian,LateNight,Cloudy,Low,Yes
Indian,Lunch,Sunny,Medium,Yes
Indian,Lunch,Rainy,High,Yes
Italian,LateNight,Cloudy,Low,Yes
Italian,LateNight,Cloudy,High,No
Mexican,LateNight,Cloudy,High,Yes
Indian,Breakfast,Rainy,High,Yes
Mexican,LateNight,Rainy,High,Yes
Indian,Lunch,Sunny,High,Yes
Mexican,Dinner,Cloudy,High,Yes
Chinese,Lunch,Sunny,Medium,No
Indian,Breakfast,Cloudy,High,Yes
Italian,Lunch,Rainy,High,Yes
Mexican,Breakfast,Rainy,Low,No
Indian,Dinner,Sunny,Medium,No
Chinese,Dinner,Rainy,High,Yes
Mexican,Dinner,Sunny,High,No
Mexican,LateNight,Cloudy,Low,Yes
Mexican,Lunch,Rainy,Low,Yes
Indian,LateNight,Rainy,High,Yes
Indian,Dinner,Rainy,High,Yes
Indian,LateNight,Sunny,Medium,No
Chinese,Lunch,Sunny,Low,No
Italian,Lunch,Cloudy,Low,Yes
Indian,Breakfast,Cloudy,Low,No
Chinese,Lunch,Cloudy,High,No
Mexican,Lunch,Cloudy,High,Yes
Italian,LateNight,Sunny,Medium,Yes
Indian,Lunch,Cloudy,High,Yes
Italian,Breakfast,Cloudy,High,No
Indian,Dinner,Rainy,Medium,No
Mexican,LateNight,Sunny,Medium,Yes
Italian,Lunch,Sunny,Low,Yes
Indian,Lunch,Sunny,Medium,Yes
Indian,Dinner,Rainy,Low,No
Indian,Breakfast,Cloudy,Medium,No
Mexican,Dinner,Rainy,Low,No
Indian,Dinner,Sunny,Medium,No
Italian,Breakfast,Cloudy,Medium,Yes
Chinese,Breakfast,Cloudy,High,Yes
Indian,Dinner,Cloudy,Low,No
Chinese,Breakfast,Cloudy,High,Yes
Indian,LateNight,Rainy,Low,Yes
Indian,LateNight,Rainy,High,Yes
Chinese,Lunch,Cloudy,High,Yes
Indian,LateNight,Sunny,Low,No
Italian,Lunch,Rainy,Medium,No
Italian,LateNight,Rainy,Low,No
Chinese,Dinner,Sunny,Low,No
Mexican,LateNight,Sunny,Low,Yes
Chinese,Dinner,Rainy,High,Yes
Chinese,LateNight,Cloudy,Low,No
Mexican,Dinner,Rainy,High,Yes
Chinese,Lunch,Rainy,High,Yes
Indian,Lunch,Sunny,Medium,No
Italian,LateNight,Rainy,Low,Yes
Indian,LateNight,Rainy,Low,Yes
Italian,Breakfast,Sunny,Low,No
Mexican,Lunch,Sunny,Low,No
Italian,LateNight,Rainy,Medium,Yes
Chinese,Lunch,Rainy,Low,No
Chinese,LateNight,Sunny,High,Yes
Chinese,LateNight,Sunny,Medium,No
Italian,LateNight,Rainy,High,Yes
Mexican,Breakfast,Rainy,Medium,Yes
Indian,Breakfast,Sunny,Medium,No
Chinese,LateNight,Cloudy,Medium,No
Chinese,Breakfast,Rainy,Low,No
Indian,Dinner,Cloudy,Medium,No
Chinese,Dinner,Rainy,Low,Yes
Italian,Lunch,Rainy,Low,No
Chinese,Lunch,Sunny,High,Yes
Chinese,Lunch,Rainy,Medium,No
Chinese,Lunch,Rainy,Medium,No
Mexican,Dinner,Cloudy,Medium,Yes
Italian,LateNight,Cloudy,High,Yes
